Address,City,State,Zip Code,Latitude,Longitude,Number Of Bathrooms,Number of Bedrooms,Price,Price Per Square Foot,Square Feet,Year Built,Sold
6503 S 35th St,Rogers,AR,72758,36.2668249,-94.166934,3,4,630000,217,2901,2010,1
4312 W Baltimore Dr,Rogers,AR,72758,36.2712933,-94.1801156,2,3,305000,217,1408,2013,1
4615 W Buckeye Dr,Rogers,AR,72758,36.2702928,-94.1882084,4,4,604000,205,2950,2015,1
6210 S 38th St,Rogers,AR,72758,36.2715295,-94.1702941,2,3,359900,195,1846,2015,1
3803 W Amour Dr,Rogers,AR,72758,36.2763507,-94.1702941,2,3,330000,200,1651,2006,1
4506 W Canopy Meadows Dr,Rogers,AR,72758,36.2796391,-94.1821161,3,4,589000,223,2644,2016,1
4605 W Warbal Trl,Rogers,AR,72758,36.281193,-94.1836366,3,4,566500,202,2798,2012,1
5409 S 44th St,Rogers,AR,72758,36.2823474,-94.1778151,3,3,550000,180,3060,2002,1
222 Colville St,Lowell,AR,72745,36.257998,-94.1847769,2,3,360000,214,1682,2009,1
2001 W Brooks Pl,Rogers,AR,72758,36.2901544,-94.1478176,2,3,415000,201,2060,2013,1
2701 S Laurel Crossing Cir,Rogers,AR,72758,36.2907755,-94.1371827,4,4,689500,200,3456,2001,1
2703 S Creekside Dr,Rogers,AR,72758,36.2928453,-94.1506967,3,4,675000,220,3074,2012,1
1724 W Cunningham Ave,Rogers,AR,72758,36.2960987,-94.1440392,3,3,435000,195,2226,2004,1
1900 W Linda Ln,Rogers,AR,72758,36.3027995,-94.1458784,3,4,495000,200,2470,2016,1
2905 S East St,Rogers,AR,72758,36.298307,-94.1130621,2,3,305000,206,1480,2015,1
440 E Meadow Wood Ln,Rogers,AR,72758,36.2989866,-94.1105048,2,3,265000,196,1349,2008,1
409 E Meadow Wood Ln,Rogers,AR,72758,36.2994252,-94.1137414,2,3,283000,187,1511,2008,1
1101 W Price Ln,Rogers,AR,72758,36.2976923,-94.1321658,3,3,825000,478,1725,1988,1
904 W Nursery Rd,Rogers,AR,72758,36.303607,-94.1298496,2,4,341990,187,1831,2023,1
2207 S 18th St,Rogers,AR,72758,36.3041711,-94.1404409,2,3,379900,181,2104,2005,1
1714 S 11th Pl,Rogers,AR,72756,36.315688,-94.132687,2,3,374500,231,1620,2021,1
1617 S 11th Pl,Rogers,AR,72756,36.3174163,-94.1320659,2,3,330000,223,1483,2020,1
1204 W Olrich St,Rogers,AR,72756,36.3189538,-94.133445,2,3,385000,177,2176,1997,1
1207 W Countrywood Cir,Rogers,AR,72756,36.3210575,-94.1337248,3,3,372500,169,2199,1984,1
1206 W Ash St,Rogers,AR,72756,36.3221541,-94.1325655,2,4,435000,190,2293,1980,1
906 S 22nd St,Rogers,AR,72758,36.3256472,-94.1501168,2,3,255000,178,1430,1965,1
914 S Dixieland Rd,Rogers,AR,72758,36.3252603,-94.1441991,2,2,229900,228,1008,1985,1
802 S La Rouge Ct,Rogers,AR,72758,36.3295027,-94.1547155,3,4,470400,169,2783,1978,1
2610 W Chateau Dr,Rogers,AR,72758,36.3323831,-94.1593946,3,3,406000,177,2288,1988,1
1708 W Walnut St,Rogers,AR,72756,36.3334971,-94.1412605,2,4,445000,221,2016,2000,1
1817 S 27th Pl,Rogers,AR,72758,36.3132357,-94.1600545,4,4,575000,158,3650,2000,1
218 SE 7th St,Bentonville,AR,72712,36.3649408,-94.207049,3,3,900000,368,2445,2018,1
837 SE 5th St,Bentonville,AR,72712,36.3679941,-94.1994539,5,4,1300000,310,4200,2023,1
304 SW 3rd St,Bentonville,AR,72712,36.3698827,-94.2118529,3,4,1150000,400,2873,2017,1
902 Castle Ln,Bentonville,AR,72712,36.3816209,-94.1908593,3,4,897000,299,3002,1978,1
3 Greenridge Ln,Bentonville,AR,72712,36.3911372,-94.2090906,2,4,428770,252,1703,1994,1
21 Greenridge Ln,Bentonville,AR,72712,36.3909612,-94.2068889,2,4,500000,286,1750,1997,1
1703 Kimberly Pl,Bentonville,AR,72712,36.3933556,-94.2198403,3,3,370000,208,1780,1988,1
2902 Northaven Dr,Bentonville,AR,72712,36.4007835,-94.2085302,3,4,505000,247,2046,1997,1
35 Valley View Cir,Bentonville,AR,72712,36.4020141,-94.2065487,3,4,649000,253,2561,1997,1
2301 SW 15th St,Bentonville,AR,72713,36.3560238,-94.2360048,2,3,321000,211,1521,2001,1
1900 SW Birch St,Bentonville,AR,72713,36.3525225,-94.2328148,2,3,410000,200,2049,2015,1
503 SW Duke Ave,Bentonville,AR,72712,36.369267,-94.2418668,2,4,478000,236,2023,2001,1
4400 SW Cornerstone Rd,Bentonville,AR,72713,36.3306526,-94.2562091,2,4,415000,206,2014,2018,1
3802 SW Ridgeway St,Bentonville,AR,72713,36.3345632,-94.2525831,3,4,485000,179,2708,2015,1
5002 SW Peregrine Ave,Bentonville,AR,72713,36.3346022,-94.2704951,3,4,440000,153,2870,2005,1
721 Skylar St,Bentonville,AR,72113,36.33943,-94.274264,3,4,432000,203,2128,2022,1
3308 SW Brittany Rd,Bentonville,AR,72713,36.3392199,-94.2671887,3,4,467000,203,2298,2018,1
7200 SW Chalkstone Rd,Bentonville,AR,72713,36.3057262,-94.2633502,2,4,350900,150,2347,2023,1
3505 SW Aurora Ln,Bentonville,AR,72713,36.309789,-94.251501,4,4,737900,244,3024,2023,1
9180 SW Lee Harris Rd,Bentonville,AR,72712,36.3078817,-94.2814545,4,4,892500,293,3050,2015,1
1507 SW Wisteria Ave,Bentonville,AR,72713,36.3204096,-94.2304119,4,4,670000,216,3100,2013,1
1606 SW Hayfield Ave,Bentonville,AR,72713,36.3292806,-94.2311127,4,4,657500,207,3170,2016,1
10801 Murdock Rd,Bentonville,AR,72713,36.2778792,-94.2448311,2,3,306000,211,1452,1993,1
583 Venters Dr,Cave Springs,AR,72718,36.2555963,-94.2267276,2,4,389000,176,2206,2005,1
12842 Wood Duck Ln,Springdale,AR,72762,36.2403746,-94.2412856,3,4,747000,214,3495,2000,1
8013 Willowood Ct,Springdale,AR,72762,36.2361026,-94.2276887,4,4,685000,221,3095,2016,1
7120 Sunset Ridge Cir,Springdale,AR,72762,36.2391792,-94.206969,4,4,570000,163,3496,2004,1
6955 Sunset Ridge Cir,Springdale,AR,72762,36.2393586,-94.2048674,4,4,875000,226,3865,2020,1
1514 Crestwood Hills Ln,Cave Springs,AR,72718,36.2577259,-94.2040469,3,4,472000,182,2595,2017,1
